Attempt,Train Percent,Days,# of layers,epochs,Units in layers,Accuracy,RSME,Optimizer
1,85,180,4,10,"50, 50, 25, 1",0.52,7.2532,adam
2,80,180,4,10,"50, 50, 25, 1",0.51,7.5166,adam
3,80,60,4,10,"50, 50, 25, 1",0.5498,7.215,adam
4,80,60,4,10,"64, 64, 32, 1",0.47808,7.3984,adam
5,80,60,4,1,"64, 64, 32, ",0.45816,15.86474,adam
6,80,360,4,10,"64, 64, 32, ",0.45019,8.34914,adam
7,80,180,4,20,"64, 64, 32, 1",0.5099,7.2761,adam
8,80,180,5,50,"50, 50, 50, 25, 1",0.51394,7.443,adam
9,80,180,4,20,"50,50,25,1",0.5378,15.1399,adam
10,80,90,4,20,"64,64,32,1",0.47808,8.7518,adam
11,80,60,5,10,"50, 50, 40, 25, 1",0.5378,18.694322,adam
12,80,60,4,20,"50,50,25,1",0.5378,10.6682,adam
13,80,50,4,15,"50,50,25,1",0.46,7.556,adam
14,80,60,4,15,"55, 50, 30, 1",0.53,7.3408,adam
15,80,60,5,100,"50, 50, 40, 25, 1",0.5219,7.4712,adam
16,80,50,4,30,"50,50,25,1",0.50597,7.3699,adam
17,80,90,4,20,"50,50,25,1",0.5378,7.7573,adam
18,80,50,5,50,"50,50,25,1",0.537,7.39,adam
19,80,60,4,80,"50, 50, 25, 1",0.557,7.373,adam
20,80,60,4,100,"50,50,25,1",0.5019,7.466,adam
21,80,50,5,100,"50,50,25,1",0.505,7.749,adam
22,80,60,5,10,"100, 50, 40, 25, 1",0.47011,15.054,rmsprop
23,80,60,5,10,"100, 50, 40, 25, 1",0.4382,22.58879,sgd
24,80,60,4,10,"50, 50, 25, 1",0.47808,7.68,adam
25,,,,,,0.482,7.69,
26,80,60,4,50,"50,50,25,1",0.5099,7.52,adam
27,80,50,4,10,"40,40,20,2",0.468,8.18,adam
28,80,80,5,15,"40,40,40,20,2",0.53,9.365,adam
29,80,80,5,20,"40,40,40,20,2",0.5338,7.363,adam
30,80,80,4,20,"40,40,20,2",0.466,7.635,adam