Name,Date,Close/Last,Volume,Open,High,Low
SBUX,12/8/23,$96.61 ,7125234,$96.08 ,$96.86 ,$95.81 
SBUX,12/7/23,$96.44 ,7858295,$97.25 ,$97.70 ,$96.27 
SBUX,12/6/23,$97.02 ,12115000,$95.95 ,$97.17 ,$95.47 
SBUX,12/5/23,$95.54 ,16027350,$97.38 ,$97.48 ,$94.85 
SBUX,12/4/23,$97.60 ,11477380,$98.39 ,$98.88 ,$96.77 
SBUX,12/1/23,$99.20 ,12506510,$98.50 ,$99.28 ,$97.52 
SBUX,11/30/23,$99.30 ,11442610,$100.06 ,$100.12 ,$98.42 
SBUX,11/29/23,$99.85 ,8428536,$101.51 ,$101.69 ,$99.53 
SBUX,11/28/23,$101.18 ,6848126,$101.96 ,$102.05 ,$100.89 
SBUX,11/27/23,$102.36 ,7853572,$102.29 ,$103.09 ,$102.07 
SBUX,11/24/23,$102.78 ,3206415,$103.44 ,$103.60 ,$102.47 
SBUX,11/22/23,$103.44 ,4831074,$104.16 ,$104.68 ,$103.28 
SBUX,11/21/23,$103.69 ,6148980,$104.45 ,$104.68 ,$103.17 
SBUX,11/20/23,$104.30 ,9800973,$105.21 ,$105.47 ,$103.86 
SBUX,11/17/23,$105.57 ,6343048,$107.18 ,$107.50 ,$105.48 
SBUX,11/16/23,$107.21 ,8037166,$106.28 ,$107.66 ,$106.20 
SBUX,11/15/23,$106.03 ,7980174,$105.66 ,$106.54 ,$105.66 
SBUX,11/14/23,$105.60 ,8322991,$104.48 ,$105.82 ,$104.24 
SBUX,11/13/23,$103.51 ,7120802,$103.92 ,$104.23 ,$102.96 
SBUX,11/10/23,$104.33 ,7340029,$102.60 ,$104.35 ,$101.98 
SBUX,11/9/23,$102.23 ,7607049,$104.30 ,$104.46 ,$102.03 
SBUX,11/8/23,$104.30 ,7452971,$103.74 ,$104.82 ,$103.65 
SBUX,11/7/23,$103.68 ,6239517,$104.23 ,$104.39 ,$103.33 
SBUX,11/6/23,$104.03 ,7532035,$102.87 ,$104.09 ,$101.97 
SBUX,11/3/23,$102.65 ,15995730,$100.62 ,$103.77 ,$100.50 
SBUX,11/2/23,$100.01 ,23396320,$100.99 ,$101.92 ,$99.74 
SBUX,11/1/23,$91.35 ,14292510,$91.83 ,$91.86 ,$90.55 
SBUX,10/31/23,$92.24 ,9308255,$93.17 ,$93.32 ,$92.00 
SBUX,10/30/23,$93.15 ,7852882,$93.12 ,$93.71 ,$92.72 
SBUX,10/27/23,$92.02 ,8293588,$92.64 ,$93.73 ,$91.77 
SBUX,10/26/23,$92.67 ,6201678,$93.81 ,$94.48 ,$92.60 
SBUX,10/25/23,$94.00 ,5497301,$94.32 ,$95.36 ,$93.97 
SBUX,10/24/23,$94.62 ,3600227,$94.28 ,$94.98 ,$94.06 
SBUX,10/23/23,$94.20 ,4481004,$93.93 ,$95.03 ,$93.29 
SBUX,10/20/23,$94.19 ,4698978,$94.62 ,$95.09 ,$94.14 
SBUX,10/19/23,$94.42 ,5611009,$94.37 ,$95.66 ,$94.17 
SBUX,10/18/23,$93.75 ,4110651,$93.94 ,$94.53 ,$93.50 
SBUX,10/17/23,$94.18 ,6086690,$92.75 ,$94.19 ,$92.63 
SBUX,10/16/23,$93.65 ,4595886,$92.17 ,$93.86 ,$91.85 
SBUX,10/13/23,$91.48 ,4780570,$91.28 ,$92.06 ,$91.05 
SBUX,10/12/23,$91.42 ,5485215,$91.84 ,$92.25 ,$90.77 
SBUX,10/11/23,$91.95 ,4499170,$93.29 ,$93.63 ,$91.85 
SBUX,10/10/23,$93.18 ,4974831,$92.96 ,$93.97 ,$92.87 
SBUX,10/9/23,$92.68 ,4120707,$92.45 ,$92.79 ,$91.43 
SBUX,10/6/23,$92.85 ,6979313,$92.00 ,$93.34 ,$91.68 
SBUX,10/5/23,$92.37 ,7548837,$91.14 ,$93.05 ,$91.14 
SBUX,10/4/23,$91.15 ,6166103,$89.89 ,$91.43 ,$89.81 
SBUX,10/3/23,$89.48 ,6666600,$90.50 ,$91.07 ,$89.21 
SBUX,10/2/23,$91.13 ,6430546,$91.05 ,$91.74 ,$90.79 
SBUX,9/29/23,$91.27 ,7700233,$92.61 ,$93.06 ,$90.84 
SBUX,9/28/23,$91.08 ,4736279,$91.17 ,$91.39 ,$90.21 
SBUX,9/27/23,$91.17 ,4731493,$92.46 ,$92.73 ,$90.38 
SBUX,9/26/23,$92.00 ,6086633,$92.00 ,$92.49 ,$91.18 
SBUX,9/25/23,$92.74 ,4818844,$92.89 ,$93.47 ,$92.25 
SBUX,9/22/23,$93.68 ,5119555,$93.43 ,$94.34 ,$93.37 
SBUX,9/21/23,$93.10 ,6110670,$95.16 ,$95.32 ,$93.03 
SBUX,9/20/23,$95.16 ,4576401,$95.45 ,$96.62 ,$95.05 
SBUX,9/19/23,$95.29 ,6803740,$95.21 ,$95.47 ,$94.27 
SBUX,9/18/23,$96.76 ,4477703,$96.30 ,$96.97 ,$96.09 
SBUX,9/15/23,$96.23 ,8767575,$97.25 ,$97.47 ,$96.05 
SBUX,9/14/23,$97.16 ,6039743,$96.77 ,$97.78 ,$96.25 
SBUX,9/13/23,$96.93 ,5830190,$96.20 ,$97.30 ,$96.04 
SBUX,9/12/23,$96.24 ,5007661,$95.50 ,$96.51 ,$95.20 
SBUX,9/11/23,$95.67 ,5577488,$95.65 ,$96.23 ,$95.22 
SBUX,9/8/23,$95.28 ,4755308,$95.25 ,$95.85 ,$94.75 
SBUX,9/7/23,$95.10 ,6404088,$95.49 ,$95.82 ,$95.02 
SBUX,9/6/23,$95.95 ,5428406,$96.42 ,$96.55 ,$95.37 
SBUX,9/5/23,$96.84 ,5414313,$97.52 ,$97.81 ,$96.59 
SBUX,9/1/23,$98.00 ,4747222,$98.40 ,$98.75 ,$97.04 
SBUX,8/31/23,$97.44 ,5624545,$99.00 ,$99.33 ,$97.28 
SBUX,8/30/23,$99.24 ,4212191,$99.02 ,$99.72 ,$99.00 
SBUX,8/29/23,$99.15 ,5512282,$97.36 ,$99.23 ,$97.34 
SBUX,8/28/23,$97.04 ,5098911,$95.94 ,$97.20 ,$95.83 
SBUX,8/25/23,$95.48 ,5360383,$95.54 ,$95.96 ,$94.51 
SBUX,8/24/23,$94.83 ,7824509,$94.75 ,$95.63 ,$93.71 
SBUX,8/23/23,$95.18 ,9704476,$96.42 ,$96.56 ,$94.01 
SBUX,8/22/23,$96.07 ,3640478,$96.49 ,$96.74 ,$95.60 
SBUX,8/21/23,$96.46 ,3753240,$97.32 ,$97.57 ,$96.16 
SBUX,8/18/23,$97.23 ,4125998,$96.01 ,$97.49 ,$95.79 
SBUX,8/17/23,$96.57 ,5291081,$99.00 ,$99.10 ,$96.43 
SBUX,8/16/23,$98.98 ,3679469,$99.61 ,$100.09 ,$98.89 
SBUX,8/15/23,$100.04 ,3203701,$100.13 ,$100.65 ,$99.78 
SBUX,8/14/23,$101.01 ,3239300,$100.48 ,$101.22 ,$100.20 
SBUX,8/11/23,$100.99 ,3180578,$101.40 ,$101.40 ,$100.14 
SBUX,8/10/23,$101.66 ,6844212,$100.54 ,$102.37 ,$100.40 
SBUX,8/9/23,$99.92 ,4494291,$101.00 ,$101.58 ,$99.47 
SBUX,8/8/23,$100.70 ,4058380,$101.22 ,$101.42 ,$99.89 
SBUX,8/7/23,$101.74 ,5222735,$101.42 ,$101.86 ,$100.94 
SBUX,8/4/23,$100.68 ,5199179,$102.96 ,$103.15 ,$100.52 
SBUX,8/3/23,$102.33 ,5548866,$101.97 ,$102.90 ,$101.45 
SBUX,8/2/23,$102.13 ,14465180,$100.50 ,$104.46 ,$99.29 
SBUX,8/1/23,$101.26 ,7811845,$101.47 ,$101.71 ,$100.40 
SBUX,7/31/23,$101.57 ,6386524,$101.31 ,$101.83 ,$100.86 
SBUX,7/28/23,$101.25 ,5321408,$101.50 ,$101.83 ,$100.81 
SBUX,7/27/23,$100.78 ,5373440,$102.03 ,$102.43 ,$100.54 
SBUX,7/26/23,$101.73 ,6568346,$102.21 ,$102.67 ,$101.30 
SBUX,7/25/23,$102.92 ,5627475,$102.43 ,$103.77 ,$102.33 
SBUX,7/24/23,$102.78 ,4747192,$102.88 ,$103.41 ,$102.32 
SBUX,7/21/23,$102.82 ,20370310,$101.80 ,$103.55 ,$101.61 
SBUX,7/20/23,$100.88 ,5466135,$101.78 ,$102.48 ,$100.70 
SBUX,7/19/23,$101.83 ,5556150,$100.62 ,$101.98 ,$100.62 
SBUX,7/18/23,$100.76 ,5991042,$100.74 ,$101.42 ,$99.86 
SBUX,7/17/23,$100.93 ,5246462,$100.83 ,$101.81 ,$100.04 
SBUX,7/14/23,$101.61 ,3939769,$101.77 ,$102.08 ,$100.99 
SBUX,7/13/23,$101.60 ,4511661,$101.51 ,$102.20 ,$101.30 
SBUX,7/12/23,$101.14 ,6971946,$101.42 ,$101.83 ,$100.76 
SBUX,7/11/23,$100.09 ,5271726,$99.44 ,$100.23 ,$99.14 
SBUX,7/10/23,$99.13 ,9294603,$96.30 ,$99.53 ,$96.23 
SBUX,7/7/23,$96.05 ,7889474,$95.99 ,$96.66 ,$95.55 
SBUX,7/6/23,$96.20 ,7156959,$97.86 ,$98.07 ,$95.91 
SBUX,7/5/23,$98.46 ,6366733,$99.15 ,$99.33 ,$98.29 
SBUX,7/3/23,$99.15 ,3281097,$98.73 ,$99.57 ,$98.25 
SBUX,6/30/23,$99.06 ,6229932,$99.40 ,$99.46 ,$98.54 
SBUX,6/29/23,$98.68 ,5113467,$98.61 ,$98.83 ,$97.98 
SBUX,6/28/23,$98.61 ,6581859,$98.64 ,$98.64 ,$97.30 
SBUX,6/27/23,$98.72 ,5034140,$98.39 ,$99.06 ,$97.73 
SBUX,6/26/23,$98.23 ,6069001,$98.34 ,$98.77 ,$97.48 
SBUX,6/23/23,$98.34 ,18770110,$99.65 ,$99.73 ,$97.52 
SBUX,6/22/23,$100.85 ,6126566,$101.42 ,$101.64 ,$99.64 
SBUX,6/21/23,$101.87 ,5508811,$100.60 ,$102.46 ,$100.36 
SBUX,6/20/23,$101.27 ,5507161,$101.86 ,$102.49 ,$100.90 
SBUX,6/16/23,$101.87 ,11709170,$102.01 ,$102.51 ,$101.48 
SBUX,6/15/23,$101.38 ,6448196,$101.34 ,$101.99 ,$100.66 
SBUX,6/14/23,$100.66 ,9279505,$99.56 ,$101.36 ,$99.19 
SBUX,6/13/23,$99.26 ,5137913,$98.51 ,$99.47 ,$98.51 
SBUX,6/12/23,$98.46 ,6708547,$97.96 ,$98.51 ,$97.52 
SBUX,6/9/23,$97.96 ,5552325,$98.80 ,$98.96 ,$97.64 
SBUX,6/8/23,$99.15 ,6881620,$97.65 ,$99.18 ,$96.92 
SBUX,6/7/23,$97.92 ,6285640,$98.55 ,$98.86 ,$97.59 
SBUX,6/6/23,$98.22 ,8657061,$99.74 ,$100.33 ,$97.53 
SBUX,6/5/23,$99.93 ,6536496,$100.04 ,$100.87 ,$99.50 
SBUX,6/2/23,$99.50 ,6221417,$98.31 ,$99.66 ,$98.19 
SBUX,6/1/23,$97.52 ,6752182,$97.59 ,$98.23 ,$96.52 
SBUX,5/31/23,$97.64 ,10377090,$98.03 ,$98.08 ,$96.98 
SBUX,5/30/23,$97.75 ,6505373,$98.89 ,$98.96 ,$97.31 
SBUX,5/26/23,$98.53 ,7276461,$98.63 ,$99.61 ,$98.33 
SBUX,5/25/23,$98.44 ,8177029,$98.70 ,$98.90 ,$97.73 
SBUX,5/24/23,$99.61 ,6134820,$100.80 ,$100.81 ,$99.11 
SBUX,5/23/23,$100.34 ,6766298,$102.12 ,$102.14 ,$100.08 
SBUX,5/22/23,$102.90 ,7504276,$105.52 ,$105.70 ,$102.77 
SBUX,5/19/23,$105.51 ,4985231,$107.00 ,$107.15 ,$105.32 
SBUX,5/18/23,$107.09 ,5377477,$105.42 ,$107.14 ,$105.20 
SBUX,5/17/23,$105.69 ,4757275,$105.96 ,$106.54 ,$104.95 
SBUX,5/16/23,$105.28 ,3677256,$106.41 ,$106.56 ,$105.20 
SBUX,5/15/23,$106.64 ,4217126,$106.11 ,$106.76 ,$105.61 
SBUX,5/12/23,$106.12 ,5175562,$105.76 ,$106.22 ,$104.83 
SBUX,5/11/23,$105.63 ,4791653,$106.44 ,$106.76 ,$105.12 
SBUX,5/10/23,$106.97 ,4565013,$107.16 ,$108.11 ,$105.68 
SBUX,5/9/23,$106.71 ,3682380,$106.99 ,$107.18 ,$106.40 
SBUX,5/8/23,$107.17 ,6090713,$107.47 ,$108.12 ,$106.93 
SBUX,5/5/23,$107.21 ,7813754,$105.55 ,$107.48 ,$105.38 
SBUX,5/4/23,$104.72 ,8858136,$104.27 ,$105.67 ,$103.80 
SBUX,5/3/23,$103.96 ,24388560,$109.08 ,$109.72 ,$103.80 
SBUX,5/2/23,$114.46 ,9626359,$114.49 ,$114.56 ,$112.85 
SBUX,5/1/23,$114.56 ,6495924,$114.25 ,$115.48 ,$114.25 
SBUX,4/28/23,$114.29 ,5979301,$112.42 ,$114.31 ,$112.29 
SBUX,4/27/23,$112.75 ,7618524,$111.39 ,$112.88 ,$111.18 
SBUX,4/26/23,$111.47 ,8081639,$109.01 ,$112.33 ,$109.01 
SBUX,4/25/23,$109.34 ,8747078,$108.91 ,$111.11 ,$108.83 
SBUX,4/24/23,$109.29 ,5940686,$108.19 ,$109.29 ,$108.04 
SBUX,4/21/23,$108.19 ,4522838,$107.30 ,$108.78 ,$106.66 
SBUX,4/20/23,$107.05 ,4297187,$106.19 ,$107.58 ,$106.19 
SBUX,4/19/23,$107.16 ,4617787,$107.69 ,$107.86 ,$107.08 
SBUX,4/18/23,$107.91 ,5300676,$108.87 ,$109.23 ,$107.73 
SBUX,4/17/23,$108.31 ,4780873,$107.96 ,$108.65 ,$107.56 
SBUX,4/14/23,$107.47 ,3963272,$106.91 ,$108.17 ,$106.85 
SBUX,4/13/23,$106.99 ,4367557,$106.38 ,$107.23 ,$106.25 
SBUX,4/12/23,$105.60 ,4606206,$106.24 ,$106.58 ,$105.35 
SBUX,4/11/23,$105.74 ,4010604,$105.06 ,$106.40 ,$104.92 
SBUX,4/10/23,$104.74 ,3761576,$103.55 ,$104.82 ,$103.07 
SBUX,4/6/23,$104.68 ,3155669,$104.90 ,$105.16 ,$104.02 
SBUX,4/5/23,$104.90 ,5170941,$103.98 ,$105.70 ,$103.93 
SBUX,4/4/23,$104.00 ,3854429,$104.85 ,$105.01 ,$103.35 
SBUX,4/3/23,$104.85 ,3855350,$104.06 ,$104.94 ,$103.67 
SBUX,3/31/23,$104.13 ,6900065,$101.84 ,$104.28 ,$101.84 
SBUX,3/30/23,$101.32 ,4082616,$101.44 ,$101.70 ,$100.65 
SBUX,3/29/23,$100.62 ,4946642,$99.33 ,$100.69 ,$98.74 
SBUX,3/28/23,$98.72 ,4709799,$98.14 ,$98.91 ,$98.08 
SBUX,3/27/23,$98.66 ,6022228,$98.92 ,$99.72 ,$98.58 
SBUX,3/24/23,$98.34 ,4685915,$98.22 ,$98.43 ,$97.19 
SBUX,3/23/23,$98.42 ,6879155,$99.34 ,$100.13 ,$97.52 
SBUX,3/22/23,$99.12 ,5917747,$100.69 ,$101.48 ,$99.06 
SBUX,3/21/23,$100.54 ,4743712,$100.51 ,$101.19 ,$100.14 
SBUX,3/20/23,$99.85 ,4864018,$99.10 ,$100.22 ,$98.93 
SBUX,3/17/23,$98.70 ,10189660,$99.07 ,$99.29 ,$97.84 
SBUX,3/16/23,$100.43 ,8189000,$99.14 ,$100.71 ,$99.03 
SBUX,3/15/23,$99.34 ,6603316,$98.40 ,$99.37 ,$97.28 
SBUX,3/14/23,$99.46 ,6248761,$100.11 ,$100.38 ,$98.47 
SBUX,3/13/23,$99.08 ,6408391,$98.91 ,$100.20 ,$98.37 
SBUX,3/10/23,$99.38 ,6641872,$100.62 ,$101.24 ,$99.03 
SBUX,3/9/23,$100.30 ,5732341,$102.74 ,$102.75 ,$99.96 
SBUX,3/8/23,$102.50 ,4225498,$102.90 ,$103.02 ,$101.73 
SBUX,3/7/23,$103.34 ,3976538,$104.99 ,$105.68 ,$103.12 
SBUX,3/6/23,$104.99 ,5237053,$104.45 ,$105.94 ,$104.44 
SBUX,3/3/23,$104.55 ,4882121,$103.40 ,$104.69 ,$103.01 
SBUX,3/2/23,$103.01 ,4778279,$101.28 ,$103.17 ,$100.94 
SBUX,3/1/23,$101.43 ,5382158,$102.19 ,$102.33 ,$100.91 
SBUX,2/28/23,$102.09 ,5186525,$101.99 ,$102.95 ,$101.90 
SBUX,2/27/23,$102.44 ,5235072,$102.33 ,$103.30 ,$102.15 
SBUX,2/24/23,$101.60 ,6019678,$102.65 ,$102.72 ,$100.82 
SBUX,2/23/23,$103.51 ,6857851,$105.51 ,$105.51 ,$102.63 
SBUX,2/22/23,$104.77 ,7523721,$105.41 ,$105.94 ,$104.39 
SBUX,2/21/23,$104.78 ,5438014,$105.50 ,$105.95 ,$104.71 
SBUX,2/17/23,$107.10 ,6876408,$106.74 ,$107.46 ,$106.23 
SBUX,2/16/23,$107.54 ,4596815,$107.76 ,$109.10 ,$107.41 
SBUX,2/15/23,$109.00 ,4060391,$107.50 ,$109.00 ,$107.26 
SBUX,2/14/23,$107.98 ,5109387,$107.93 ,$108.47 ,$106.70 
SBUX,2/13/23,$108.52 ,5192356,$107.45 ,$108.93 ,$107.28 
SBUX,2/10/23,$107.09 ,6298642,$105.52 ,$107.26 ,$105.47 
SBUX,2/9/23,$106.05 ,5608369,$105.73 ,$106.61 ,$105.60 
SBUX,2/8/23,$106.30 ,5557497,$106.32 ,$106.54 ,$105.65 
SBUX,2/7/23,$106.83 ,6207549,$104.83 ,$107.38 ,$104.56 
SBUX,2/6/23,$105.02 ,6392177,$104.00 ,$106.17 ,$103.30 
SBUX,2/3/23,$104.30 ,15200530,$104.58 ,$106.44 ,$103.04 
SBUX,2/2/23,$109.15 ,9852853,$110.04 ,$110.83 ,$108.00 
SBUX,2/1/23,$109.99 ,5841244,$108.97 ,$110.78 ,$107.98 
SBUX,1/31/23,$109.14 ,5816303,$108.26 ,$109.15 ,$107.50 
SBUX,1/30/23,$108.40 ,6880673,$108.26 ,$108.87 ,$107.42 
SBUX,1/27/23,$109.02 ,6851116,$108.74 ,$109.76 ,$108.34 
SBUX,1/26/23,$108.76 ,6324079,$107.30 ,$108.80 ,$107.06 
SBUX,1/25/23,$106.98 ,5416908,$106.06 ,$107.14 ,$105.90 
SBUX,1/24/23,$106.64 ,5517208,$106.40 ,$106.87 ,$105.41 
SBUX,1/23/23,$106.21 ,6320513,$105.04 ,$106.89 ,$104.40 
SBUX,1/20/23,$105.04 ,6543494,$104.40 ,$105.20 ,$103.89 
SBUX,1/19/23,$104.26 ,5115840,$105.00 ,$105.70 ,$104.24 
SBUX,1/18/23,$105.00 ,5725782,$107.14 ,$107.47 ,$104.91 
SBUX,1/17/23,$106.75 ,7477238,$106.95 ,$107.60 ,$106.31 
SBUX,1/13/23,$107.23 ,5529705,$105.07 ,$107.30 ,$105.07 
SBUX,1/12/23,$105.85 ,4881965,$106.29 ,$106.44 ,$105.17 
SBUX,1/11/23,$106.30 ,5634376,$105.81 ,$106.44 ,$104.86 
SBUX,1/10/23,$106.00 ,4183627,$104.36 ,$106.43 ,$104.17 
SBUX,1/9/23,$104.74 ,10124760,$106.52 ,$106.68 ,$104.43 
SBUX,1/6/23,$106.69 ,9644109,$105.38 ,$107.00 ,$105.01 
SBUX,1/5/23,$104.43 ,5575086,$104.49 ,$105.10 ,$103.49 
SBUX,1/4/23,$104.46 ,8166646,$102.69 ,$104.73 ,$102.55 
SBUX,1/3/23,$100.83 ,6607675,$100.56 ,$101.17 ,$99.47 
SBUX,12/30/22,$99.20 ,3988869,$99.19 ,$99.25 ,$98.24 
SBUX,12/29/22,$99.77 ,3976076,$99.00 ,$100.65 ,$98.67 
SBUX,12/28/22,$98.60 ,3491489,$99.41 ,$99.91 ,$98.39 
SBUX,12/27/22,$99.20 ,4402463,$98.57 ,$99.46 ,$98.21 
SBUX,12/23/22,$98.27 ,3944525,$97.59 ,$98.30 ,$96.88 
SBUX,12/22/22,$97.76 ,4757114,$98.45 ,$98.56 ,$96.17 
SBUX,12/21/22,$98.67 ,5566294,$96.72 ,$99.07 ,$96.35 
SBUX,12/20/22,$98.00 ,4533502,$98.19 ,$98.58 ,$97.27 
SBUX,12/19/22,$98.30 ,5771050,$98.43 ,$98.81 ,$97.73 
SBUX,12/16/22,$98.83 ,13862250,$99.28 ,$99.54 ,$98.02 
SBUX,12/15/22,$99.99 ,7246497,$101.21 ,$101.55 ,$99.45 
SBUX,12/14/22,$102.19 ,5624019,$102.32 ,$103.30 ,$100.70 
SBUX,12/13/22,$102.11 ,7065953,$104.82 ,$105.20 ,$100.99 
SBUX,12/12/22,$102.70 ,5795969,$101.13 ,$102.85 ,$100.82 
SBUX,12/9/22,$101.79 ,7999590,$103.43 ,$103.50 ,$101.75 
SBUX,12/8/22,$103.74 ,5465134,$102.74 ,$103.91 ,$102.40 
SBUX,12/7/22,$101.87 ,4194311,$101.29 ,$102.97 ,$101.06 
SBUX,12/6/22,$102.08 ,8382988,$103.82 ,$104.19 ,$101.44 
SBUX,12/5/22,$103.55 ,9285799,$103.39 ,$104.24 ,$103.00 
SBUX,12/2/22,$105.05 ,7916878,$102.02 ,$105.54 ,$101.82 
SBUX,12/1/22,$103.37 ,7452313,$102.33 ,$103.56 ,$101.95 
SBUX,11/30/22,$102.20 ,15000770,$99.05 ,$102.56 ,$98.52 
SBUX,11/29/22,$98.66 ,4423921,$98.96 ,$99.33 ,$98.20 
SBUX,11/28/22,$98.66 ,5257862,$98.99 ,$100.16 ,$98.56 
SBUX,11/25/22,$99.56 ,2320020,$99.64 ,$99.88 ,$98.52 
SBUX,11/23/22,$99.52 ,5944870,$98.49 ,$100.08 ,$98.27 
SBUX,11/22/22,$98.43 ,5399030,$98.50 ,$98.73 ,$97.52 
SBUX,11/21/22,$98.32 ,4499170,$96.99 ,$98.49 ,$96.70 
SBUX,11/18/22,$97.95 ,5964815,$97.75 ,$98.35 ,$97.13 
SBUX,11/17/22,$96.97 ,5249906,$95.21 ,$97.01 ,$95.10 
SBUX,11/16/22,$97.07 ,5348881,$96.52 ,$97.96 ,$96.26 
SBUX,11/15/22,$97.83 ,6409950,$98.91 ,$99.53 ,$97.29 
SBUX,11/14/22,$97.42 ,8521098,$97.13 ,$98.56 ,$96.69 
SBUX,11/11/22,$97.38 ,8294396,$96.76 ,$98.67 ,$96.57 
SBUX,11/10/22,$96.26 ,10408390,$93.89 ,$96.42 ,$93.33 
SBUX,11/9/22,$91.63 ,6271203,$91.61 ,$92.60 ,$91.34 
SBUX,11/8/22,$92.75 ,9675544,$90.92 ,$93.78 ,$90.92 
SBUX,11/7/22,$90.45 ,10190200,$91.67 ,$92.36 ,$89.28 
SBUX,11/4/22,$91.86 ,20194310,$91.98 ,$93.60 ,$90.52 
SBUX,11/3/22,$84.68 ,8855106,$84.07 ,$85.47 ,$82.97 
SBUX,11/2/22,$84.58 ,7661699,$87.27 ,$88.58 ,$84.53 
SBUX,11/1/22,$87.10 ,6219632,$88.06 ,$88.88 ,$86.58 
SBUX,10/31/22,$86.59 ,7401123,$86.60 ,$87.57 ,$85.95 
SBUX,10/28/22,$87.10 ,8284918,$85.17 ,$87.79 ,$84.31 
SBUX,10/27/22,$85.28 ,9524568,$86.13 ,$86.40 ,$84.08 
SBUX,10/26/22,$85.89 ,9990898,$85.61 ,$88.23 ,$85.48 
SBUX,10/25/22,$85.21 ,10674030,$84.10 ,$86.00 ,$84.10 
SBUX,10/24/22,$83.76 ,16499330,$86.90 ,$87.51 ,$82.43 
SBUX,10/21/22,$88.61 ,9088750,$87.00 ,$88.97 ,$86.56 
SBUX,10/20/22,$86.79 ,4540684,$87.33 ,$88.23 ,$86.47 
SBUX,10/19/22,$87.52 ,6473381,$88.39 ,$89.13 ,$87.01 
SBUX,10/18/22,$88.96 ,5484433,$90.11 ,$90.47 ,$88.08 
SBUX,10/17/22,$88.90 ,6255283,$87.90 ,$89.22 ,$87.81 
SBUX,10/14/22,$86.37 ,6316222,$90.01 ,$90.70 ,$86.24 
SBUX,10/13/22,$89.37 ,7616558,$85.09 ,$89.97 ,$84.71 
SBUX,10/12/22,$86.87 ,5261904,$87.00 ,$88.06 ,$86.41 
SBUX,10/11/22,$86.21 ,5531265,$86.71 ,$87.20 ,$85.64 
SBUX,10/10/22,$87.06 ,5092424,$87.01 ,$87.57 ,$86.13 
SBUX,10/7/22,$87.03 ,6606378,$88.54 ,$88.90 ,$86.30 
SBUX,10/6/22,$89.35 ,6893765,$90.19 ,$90.90 ,$89.26 
SBUX,10/5/22,$90.12 ,7980791,$87.73 ,$90.64 ,$87.55 
SBUX,10/4/22,$88.51 ,5982360,$87.09 ,$88.95 ,$86.86 
SBUX,10/3/22,$85.62 ,6739878,$84.75 ,$86.22 ,$83.80 
SBUX,9/30/22,$84.26 ,7737511,$86.57 ,$86.70 ,$84.15 
SBUX,9/29/22,$86.57 ,6881455,$86.81 ,$87.34 ,$85.61 
SBUX,9/28/22,$87.11 ,7850820,$84.68 ,$87.48 ,$84.25 
SBUX,9/27/22,$84.28 ,8628753,$85.97 ,$86.50 ,$83.17 
SBUX,9/26/22,$84.81 ,7583548,$84.31 ,$86.03 ,$84.28 
SBUX,9/23/22,$84.17 ,7153192,$83.90 ,$84.44 ,$83.23 
SBUX,9/22/22,$84.70 ,9953048,$88.00 ,$88.02 ,$84.38 
SBUX,9/21/22,$88.60 ,8806754,$91.29 ,$91.52 ,$88.57 
SBUX,9/20/22,$90.79 ,6560039,$91.66 ,$92.02 ,$90.10 
SBUX,9/19/22,$92.14 ,6286956,$90.89 ,$92.55 ,$90.83 
SBUX,9/16/22,$91.31 ,11987640,$91.15 ,$92.10 ,$90.65 
